"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","location_id","facility_level_text","ownership_code","organization_id","nhfr_code","ownership_text","grid3_globalid","facility_level_code","status","country","state","nhfr_uid","lga","lga_location_id","Site Longitude","Site Latitude"
"4345","5854","6197","8377","4496","2172","2172","621","621","1241","0","Nigeria","Bauchi","Toro","Lame","Saminakan Gwa Primary Health Clinic","2040","3121","2819","2286","836","34.69","5562","292","0","2638","3215","0","3","Primary Health Clinic","public","org-3bd18a1d-f4bc-4448-aa19-c80cac3cad3c","5","Local Government","3","primary","active","Nigeria","Bauchi","13780850","Toro","nga-ba-5018","9.19654864","10.30065447"
"3863","2914","3570","7065","4113","1931","1931","552","552","1104","0","Nigeria","Bauchi","Toro","Lame","Shau Health Post","1","2036","2338","1959","841","32.08","2874","40","0","1702","1212","0","3","Health Post","public","org-3b2b4b50-367e-40fc-89d0-a61114ba7b30","5","State Government","3","primary","active","Nigeria","Bauchi","73293649","Toro","nga-ba-5018","9.14682080428","10.4716618893"
"85","62","36","66","86","43","43","12","12","24","0","Nigeria","Bauchi","Toro","Mara","Jama'A Primary Health Clinic","20","21","21","19","9","63.37","62","0","0","62","0","0","944345","Primary Health Clinic","public","org-944345de-0bdd-4c75-9147-ab5d4cc7e813","5","Local Government","944345","primary","active","Nigeria","Bauchi","56679749","Toro","nga-ba-5018","9.285522461","10.13647461"
"1023","1424","1362","2152","1322","511","511","146","146","292","0","Nigeria","Bauchi","Toro","Mara","Kafin Durumi Health Post","562","858","732","524","139","24.99","1424","0","0","1389","35","0","0","Health Post","public","org-0fa69ea6-43e1-4eb3-91f9-f87286085e38","5","Local Government","0","primary","active","Nigeria","Bauchi","65631702","Toro","nga-ba-5018","9.27999","10.25178"
"896","863","550","1414","687","448","448","128","128","256","0","Nigeria","Bauchi","Toro","Mara","Mai Nasara Health Clinic","283","366","440","364","153","67.73","863","0","0","863","0","0","9","Primary Health Clinic","private","org-9aded4de-a8b9-464a-9f38-0a6de52c72bb","5","For Profit","9","primary","active","Nigeria","Bauchi","59638761","Toro","nga-ba-5018","9.282949","10.13628"
"594","1310","1038","1811","622","297","297","85","85","170","0","Nigeria","Bauchi","Toro","Mara","Mara Health Post","220","646","604","474","93","26.12","1301","9","0","1040","270","0","24","Health Post","public","org-24cca78f-8f13-4c98-b693-cd2ba86dc3f0","5","Local Government","24","primary","active","Nigeria","Bauchi","72185797","Toro","nga-ba-5018","9.28379561","10.30413988"
"1771","2563","2032","4131","1546","886","886","253","253","506","0","Nigeria","Bauchi","Toro","Mara","Rimin Zayam Health Post","905","1302","1384","1066","421","37.21","2529","34","0","2106","457","0","Invalid Number","Health Post","public","org-d88ca81d-0c28-4e0c-b102-2e10cddb4c10","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.283124","10.13867"
"875","1163","718","2928","1064","437","437","125","125","250","0","Nigeria","Bauchi","Toro","Mara","Rimin Zayam Primary Health Care Center","560","836","981","766","259","46.39","1163","0","0","1163","0","0","Invalid Number","Primary Health Clinic","public","org-c502189c-5060-49b3-aa9c-41a98102d491","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","58496757","Toro","nga-ba-5018","9.29086132","10.14049381"
"1211","2192","2127","3179","1064","605","605","173","173","346","0","Nigeria","Bauchi","Toro","Mara","Rinjin Gingin Health Post","719","1180","1071","785","211","26.48","2047","145","0","1860","332","0","Invalid Number","Health Post","public","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","53746030","Toro","nga-ba-5018","9.25935628879","10.2246092992"
"926","1138","758","2106","891","463","463","132","132","265","0","Nigeria","Bauchi","Toro","Mara","Sauki Health Clinic","368","577","691","541","224","43.28","1138","0","0","1138","0","0","1","Primary Health Center","private","org-1b4947cb-d79d-4828-ba48-fb3fbb57dd1c","5","For Profit","1","primary","active","Nigeria","Bauchi","58938220","Toro","nga-ba-5018","9.28588166186","10.1404275296"
