"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","location_id","facility_level_text","ownership_code","organization_id","nhfr_code","ownership_text","grid3_globalid","facility_level_code","status","country","state","nhfr_uid","lga","lga_location_id","Site Longitude","Site Latitude"
"9513","9377","7488","9851","9735","4756","4756","1359","1359","2718","0","Nigeria","Bauchi","Toro","Ribina East","Rinjin Gaini Primary Health Care Center","2126","2948","3261","2795","1703","59.31","9377","0","0","9377","0","0","3","Primary Health Center","public","org-3a0cd8f0-cb52-427e-8ff7-ab8baafd2b6a","5","Local Government","3","primary","active","Nigeria","Bauchi","28594720","Toro","nga-ba-5018","9.0962909997","10.0601399996"
"14689","16104","13028","19724","16983","7344","7344","2098","2098","4197","0","Nigeria","Bauchi","Toro","Ribina East","Salarma Health Post","4621","6854","6616","5594","2922","34.68","15759","345","0","8242","7862","0","323","Health Post","public","org-323fce00-83d5-4f50-ba7f-abcc34d909cc","5","Local Government","323","primary","active","Nigeria","Bauchi","28824231","Toro","nga-ba-5018","9.10175800042","10.0841999999"
"634","460","473","680","851","317","317","91","91","181","0","Nigeria","Bauchi","Toro","Ribina West","Badiko Health Post","194","245","271","223","128","36.80","460","0","0","460","0","0","Invalid Number","Health Post","public","org-bd34ce96-2773-40fc-a3ca-b6b664adaa7a","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.05602","10.10318"
"4416","3280","2716","5383","4451","2208","2208","631","631","1262","0","Nigeria","Bauchi","Toro","Ribina West","Gwalfada Primary Health Care Center","2026","2135","2334","1977","1095","38.93","3280","0","0","3252","28","0","7442","Primary Health Center","public","org-7442c507-18c3-41e9-9091-95957d9474c8","5","Local Government","7442","primary","active","Nigeria","Bauchi","21057834","Toro","nga-ba-5018","9.042927","10.123583"
"4791","3329","3245","4857","4922","2395","2395","684","684","1369","0","Nigeria","Bauchi","Toro","Ribina West","Kadage Health Post","1716","1921","2073","1749","899","32.93","3063","266","0","2789","541","0","9","Health Post","public","org-9d41f6dd-a248-48a0-973e-70ebea441942","5","Local Government","9","primary","active","Nigeria","Bauchi","85268273","Toro","nga-ba-5018","9.02652527347","10.1299059113"
"2292","1691","1200","3303","2035","1146","1146","327","327","655","0","Nigeria","Bauchi","Toro","Ribina West","Ribina West Maternity","1202","1298","1258","1063","590","48.94","1691","0","0","1691","0","0","6","Primary Health Clinic","public","org-6f7a64f6-ebcb-43ab-ab74-e5d6e6bdce62","Invalid Number","Unknown","6","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.04669900001","10.1066760002"
"3781","2825","2628","3528","4087","1891","1891","540","540","1080","0","Nigeria","Bauchi","Toro","Ribina West","Tudun Wadan Ribina Health Post","1318","1508","1456","1189","538","31.48","2825","0","0","1796","1029","0","507","Health Post","public","org-507ae7db-e532-45e9-bb3e-3f7d31348004","5","Local Government","507","primary","active","Nigeria","Bauchi","50078848","Toro","nga-ba-5018","9.0138","10.113788"
"3726","4095","3329","6818","4368","1863","1863","532","532","1065","0","Nigeria","Bauchi","Toro","Rishi","Dababe Health Post","486","2093","2586","2241","1059","44.67","4095","0","0","3764","330","0","Invalid Number","Health Post","public","org-eebb0a9e-c121-45ac-a893-fcbb22addab2","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.84760099973","10.4999340004"
"7103","8512","7461","12654","8095","3551","3551","1015","1015","2029","0","Nigeria","Bauchi","Toro","Rishi","Rishi Primary Health Center","1760","3325","3891","3263","1330","48.47","8509","3","0","8243","269","0","99244722","Primary Health Center","public","org-99244722-c425-467e-aa4b-f3494b49709d","5","Local Government","99244722","primary","active","Nigeria","Bauchi","59389536","Toro","nga-ba-5018","8.93945900014","10.4842539998"
"4156","4138","3657","6979","3997","2078","2078","594","594","1187","0","Nigeria","Bauchi","Toro","Rishi","Wundi Primary Health Clinic","933","1802","2248","1964","911","47.46","4138","0","0","4138","0","0","Invalid Number","Primary Health Clinic","public","org-bc304d33-b090-447c-b728-5d6d99b5ffec","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","71282888","Toro","nga-ba-5018","8.897944","10.478429"
"7067","6726","5864","15099","6871","3533","3533","1010","1010","2019","0","Nigeria","Bauchi","Toro","Rishi","Zukku Health Post","28","3901","4840","4230","1657","35.46","6723","3","0","4345","2381","0","Invalid Number","Health Post","public","org-f5455abc-e811-4816-ab20-4fcb4b144a33","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","78274834","Toro","nga-ba-5018","8.890434","10.520512"
"4416","5302","4139","10722","4603","2208","2208","747","747","1087","0","Nigeria","Bauchi","Toro","Tama #1","Burku Health Post","7","3002","3413","2431","451","24.76","5054","248","0","2483","2767","52","Invalid Number","Health Post","public","org-c097cd42-b4d2-4324-bd08-f749f7a2409e","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.945813","10.80681"
"2681","2746","2815","5241","2935","1341","1341","383","383","766","0","Nigeria","Bauchi","Toro","Tama #1","Dinga Health Post","1","1266","1624","1289","410","26.96","2746","0","0","2371","374","0","92001","Health Post","public","org-92001feb-5355-40d6-b9ad-3c056240c1a0","Invalid Number","Unknown","92001","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.98038099995","10.5324859995"
"5843","7452","6521","13174","6058","2922","2922","835","835","1670","0","Nigeria","Bauchi","Toro","Tama #1","Guraka Maternity","408","3279","3805","2839","724","28.45","7255","197","0","2984","4461","7","8","Primary Health Clinic","public","org-8a751966-ac3f-462e-98e5-f43490d3c2e0","Invalid Number","Unknown","8","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.864481","10.67213"
"349","679","911","856","445","175","175","50","50","100","0","Nigeria","Bauchi","Toro","Tama #1","Makama Health Clinic","1","211","264","184","33","18.68","679","0","0","505","174","0","1","Primary Health Clinic","private","org-01a3f03c-460f-4e83-bda7-bcd6fca6ca4c","5","For Profit","1","primary","active","Nigeria","Bauchi","83115562","Toro","nga-ba-5018","8.99313","10.504539"
"2014","2423","2164","5523","2316","1007","1007","288","288","576","0","Nigeria","Bauchi","Toro","Tama #1","Patira Health Post","0","1247","1512","1182","389","23.15","2372","51","0","1842","581","0","10100545","Health Post","public","org-10100545-212e-46f9-bc67-97ba6575989e","5","Local Government","10100545","primary","active","Nigeria","Bauchi","19067747","Toro","nga-ba-5018","8.97726","10.60093"
"9479","8616","7960","23716","10280","4739","4739","1415","1415","2617","0","Nigeria","Bauchi","Toro","Tama #1","Sabon Garin Tulu Primary Health Clinic","2244","6398","6945","5787","2432","37.02","8616","0","0","4127","4489","0","7","Primary Health Center","public","org-07c0aebf-9de5-4114-95b2-71583ac9f325","5","Local Government","7","primary","active","Nigeria","Bauchi","67416647","Toro","nga-ba-5018","9.009657","10.675517"
"129","70","84","170","132","64","64","18","18","37","0","Nigeria","Bauchi","Toro","Tama #1","Tama Health Post","67","73","81","75","35","53.91","70","0","0","70","0","0","Invalid Number","Health Post","public","org-d1283c18-0cfd-4b57-9641-5f38c2163990","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.02808200036","10.5760050001"
"522","464","340","1835","246","261","261","75","75","149","0","Nigeria","Bauchi","Toro","Tama #1","Tamiko Tulu Nursing Home","467","495","563","488","242","44.20","464","0","0","464","0","0","41581843","Primary Health Center","private","org-41581843-dfa5-45c4-93bb-c665fa22a6fd","Invalid Number","Unknown","41581843","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.025695801","10.57531738"
"2261","1725","1381","3918","2801","1131","1131","323","323","646","0","Nigeria","Bauchi","Toro","Tama #1","Tulu Ecwa Health Clinic","389","942","1072","930","478","44.19","1725","0","0","1724","1","0","Invalid Number","Primary Health Center","private","org-a3182056-f905-48ce-a634-90f3ea962975","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.023498535","10.5769043"
"9449","6948","7533","20347","9501","4724","4724","1350","1350","2700","0","Nigeria","Bauchi","Toro","Tama #1","Tulu Maternity","571","5071","6196","5352","2648","35.01","6942","6","0","3331","3617","0","Invalid Number","Primary Health Clinic","public","org-be39c34f-2cc7-43f5-90ef-81610a8f76c8","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.029543","10.576547"
"5248","4493","3693","12269","6324","2624","2624","750","750","1499","0","Nigeria","Bauchi","Toro","Tama #1","Tulu Primary Health Care Center","297","2865","3613","3107","1350","34.73","4493","0","0","3902","591","0","5","Primary Health Center","public","org-5f5f5654-092b-4c71-a0b3-71ca6e53e5f1","5","Local Government","5","primary","active","Nigeria","Bauchi","84389160","Toro","nga-ba-5018","9.028930664","10.57928467"
"7868","7143","7487","8355","8866","3934","3934","1162","1162","2088","0","Nigeria","Bauchi","Toro","Tilde","Al Ummah Health Clinic and Maternity","2044","2368","2671","2300","1424","79.10","7143","0","0","7143","0","0","53","Primary Health Clinic","private","org-53ee2f72-dba3-41f5-862e-634909a29dfb","5","For Profit","53","primary","active","Nigeria","Bauchi","77255619","Toro","nga-ba-5018","8.95951","10.02473"
"3979","3401","3718","6276","4272","1990","1990","767","767","767","0","Nigeria","Bauchi","Toro","Tilde","Atite Health Post","1783","1956","2021","1796","1126","73.42","3401","0","0","3401","0","0","Invalid Number","Health Post","public","org-df84a80e-6f87-4858-b0a5-95bd9405eb79","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.95218058","10.02357393"
"1357","1314","1353","1268","1500","679","679","194","194","388","0","Nigeria","Bauchi","Toro","Tilde","Bujiyel Health Post","325","361","375","310","152","40.82","1314","0","0","1314","0","0","2","Health Post","public","org-2ac51b40-ad42-4e39-9f47-425adac06431","5","Local Government","2","primary","active","Nigeria","Bauchi","68061651","Toro","nga-ba-5018","8.999706","10.013614"
"1057","1330","1080","904","1139","529","529","141","211","282","0","Nigeria","Bauchi","Toro","Tilde","Durbi Primary Health Center","197","237","265","227","119","45.23","1330","0","0","1330","0","0","66","Primary Health Center","public","org-066d0f2a-f1e3-4a52-9175-96148d568666","Invalid Number","Unknown","66","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.993713379","9.993896485"
"3391","3067","2746","3453","4588","1695","1695","484","484","969","0","Nigeria","Bauchi","Toro","Tilde","Gwalfaada Maternity","1010","1130","1221","1016","529","39.09","3067","0","0","3067","0","0","4774","Primary Health Clinic","public","org-4774dbd1-7bfe-4cad-9b8c-e7fed9029acf","Invalid Number","Unknown","4774","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.02575","10.07411"
"13157","15376","13641","16148","13628","6578","6578","1880","1880","3759","0","Nigeria","Bauchi","Toro","Tilde","Lah Tah Zan Hospital","5073","5399","5057","4476","2827","79.63","15376","0","0","15376","0","0","Invalid Number","Primary Health Clinic","private","org-dd3404af-9770-4b29-8755-57bd3aa7ad69","5","For Profit","Invalid Number","secondary","active","Nigeria","Bauchi","74656510","Toro","nga-ba-5018","8.994383","10.043642"
"2865","3636","3193","5549","2976","1433","1433","498","498","498","0","Nigeria","Bauchi","Toro","Tilde","Sabon Garin Narabi Health Clinic","1324","1482","1704","1426","832","66.55","3636","0","0","3636","0","0","0","Primary Health Clinic","public","org-0ab26d59-621b-4923-ae09-a2724602bf5a","5","Local Government","0","primary","active","Nigeria","Bauchi","78896530","Toro","nga-ba-5018","8.95357099973","10.0260890005"
"12505","13523","13374","12638","12786","6252","6252","1786","1786","3573","0","Nigeria","Bauchi","Toro","Tilde","Tilde Health Post Tilde Maternity and Tilde Health Clinic","3607","4113","3975","3480","2228","85.50","13523","0","0","13523","0","0","Invalid Number","Primary Health Clinic","public","org-b6ec3bf0-b0bf-47a8-b149-71696d990a2d","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.98694700041","10.04015"
"4732","3645","5126","4012","5588","2366","2366","676","676","1352","0","Nigeria","Bauchi","Toro","Tilde","Tudun Wada Health Post","1205","1338","1392","1207","655","45.98","3645","0","0","3627","18","0","0","Health Post","public","org-0bb3edf8-d088-4de3-a18e-e42df881f52a","Invalid Number","Unknown","0","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.00836132022","10.0686525501"
"4450","4407","6315","5294","4782","2225","2225","672","672","1090","0","Nigeria","Bauchi","Toro","Tilde","Tummu Health Post","1463","1786","1807","1532","738","32.80","4407","0","0","4407","0","0","Invalid Number","Health Post","public","org-abc4afb9-56cf-444b-8d6e-5afca015d8d1","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","44907520","Toro","nga-ba-5018","8.96253264301","10.0682790416"
"4267","4270","4099","4523","4920","2133","2133","610","610","1219","0","Nigeria","Bauchi","Toro","Tilde","Yerima Nursing Home","1523","1626","1414","1241","785","71.43","4270","0","0","4270","0","0","Invalid Number","Primary Health Clinic","private","org-ad0fe16f-7bae-420e-aa98-71c12f900d9c","5","For Profit","Invalid Number","primary","active","Nigeria","Bauchi","24159250","Toro","nga-ba-5018","8.991516113","10.0388794"
"3999","6155","4263","7529","4481","2000","2000","571","571","1143","0","Nigeria","Bauchi","Toro","Toro","Danmaigoro Hospital","1683","2064","2320","1966","1165","69.29","6155","0","0","6155","0","0","2","Unknown","private","org-2c405701-909d-4112-97dd-43564504c9bf","5","For Profit","2","secondary","active","Nigeria","Bauchi","50440140","Toro","nga-ba-5018","9.12667","10.06776"
"2608","2613","2028","2655","2669","1304","1304","373","373","745","0","Nigeria","Bauchi","Toro","Toro","Goljarendi Health Clinic and Maternity","659","948","902","782","508","50.06","2613","0","0","2613","0","0","4","Primary Health Clinic","private","org-4ace5e3e-2949-4844-bae3-a35b9eb1be95","5","For Profit","4","primary","active","Nigeria","Bauchi","32761507","Toro","nga-ba-5018","9.11345","10.06552"
"3250","2787","3278","3336","3727","1625","1625","464","464","929","0","Nigeria","Bauchi","Toro","Toro","Kayauri Maternity","755","1093","1103","972","515","50.05","2787","0","0","2787","0","0","4680","Primary Health Clinic","public","org-4680a0b7-e984-42b8-ac26-077840c2d445","5","Local Government","4680","primary","active","Nigeria","Bauchi","34182407","Toro","nga-ba-5018","9.06798","10.03462"
"4370","7545","5340","9640","4783","2185","2185","624","624","1248","0","Nigeria","Bauchi","Toro","Toro","Khadija Memorial Hospital","2054","2886","2922","2554","1505","53.33","7545","0","0","7545","0","0","Invalid Number","Primary Health Center","private","org-ba2230fb-dd27-487f-ae43-36560abd708e","5","For Profit","Invalid Number","primary","active","Nigeria","Bauchi","20854849","Toro","nga-ba-5018","9.131282","10.068691"
"2662","2184","2839","2131","3106","1331","1331","380","380","761","0","Nigeria","Bauchi","Toro","Toro","Loro Health Post","555","632","662","546","263","56.37","2184","0","0","2184","0","0","1","Health Post","public","org-1a6d5ea9-a9b6-4a4b-94ed-76c63327e423","5","Local Government","1","primary","active","Nigeria","Bauchi","60092776","Toro","nga-ba-5018","9.01824124137","10.037545662"
"2381","4270","2613","5189","2106","1190","1190","340","340","680","0","Nigeria","Bauchi","Toro","Toro","Magama Clinic","1192","1563","1719","1503","951","58.30","4270","0","0","4270","0","0","1101100","Primary Health Center","public","org-11011e2e-9e19-444b-a51e-489fc86793c5","Invalid Number","Unknown","1101100","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.12619045","10.06950343"
"851","1110","942","1644","530","426","426","122","122","243","0","Nigeria","Bauchi","Toro","Toro","Magaman Gumau Primary Health Care Center","399","500","585","482","286","67.05","1110","0","0","1110","0","0","Invalid Number","Primary Health Center","public","org-b10b143f-601c-44a0-a372-342182562d92","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","21617589","Toro","nga-ba-5018","9.12775","10.06949"
"1312","1064","1362","1525","1784","656","656","187","187","375","0","Nigeria","Bauchi","Toro","Toro","Rinjin Gaini Health Post","338","430","487","396","203","29.10","1064","0","0","1064","0","0","54","Health Post","public","org-54a417ff-0af6-49a7-bf8f-c9523be0e580","Invalid Number","Unknown","54","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.05776","10.03606"
"602","979","1071","1605","790","301","301","86","86","172","0","Nigeria","Bauchi","Toro","Toro","Tashan Mai'Allo Health Post","345","509","520","433","181","21.14","979","0","0","979","0","0","49","Health Post","public","org-49a99a09-9dc6-4e11-b7bc-96a9939f8bf9","5","Local Government","49","primary","active","Nigeria","Bauchi","73451513","Toro","nga-ba-5018","9.13417","10.06138"
"9964","8373","6789","9189","9873","4982","4982","1423","1423","2847","0","Nigeria","Bauchi","Toro","Toro","Toro General Hospital","2559","2769","2988","2578","1584","68.90","8373","0","0","8373","0","0","Invalid Number","General Hospital","public","org-b26a2529-5070-4277-81de-686ebe50f44b","5","State Government","Invalid Number","secondary","active","Nigeria","Bauchi","78203403","Toro","nga-ba-5018","9.04222453","10.05504419"
"5413","6331","4414","8238","4295","2707","2707","773","773","1547","0","Nigeria","Bauchi","Toro","Toro","Toro Health Post","1659","2141","2521","2197","1344","64.03","6331","0","0","6331","0","0","Invalid Number","Health Post","public","org-f3aafd08-f309-42ce-a39a-c902bf2a142b","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","59888158","Toro","nga-ba-5018","9.06373997","10.05773289"
"3127","3513","2936","4656","3810","1563","1563","447","447","893","0","Nigeria","Bauchi","Toro","Toro","Toro Primary Health Clinic","990","1358","1465","1262","717","56.50","3513","0","0","3513","0","0","8","Primary Health Clinic","public","org-8a519207-48f5-43e9-a606-13018e5a01d5","5","Local Government","8","primary","active","Nigeria","Bauchi","87452061","Toro","nga-ba-5018","9.06212","10.05931"
"1837","1775","1673","1017","2655","918","918","262","262","525","0","Nigeria","Bauchi","Toro","Toro","Zabolo Primary Health Center","235","334","321","295","190","104.51","1775","0","0","1775","0","0","Invalid Number","Primary Health Center","public","org-cd22a06e-4e90-4615-91e8-b119e74436d6","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.08432365477","10.0601320261"
"497","2382","1562","2236","642","248","248","71","71","142","0","Nigeria","Bauchi","Toro","Tulai","Amarks Health Clinic","384","751","738","536","126","19.83","2382","0","0","2314","68","0","30","Primary Health Clinic","private","org-3e1a8d8a-2616-4124-86fa-d196887ce4f5","5","For Profit","30","primary","active","Nigeria","Bauchi","58201832","Toro","nga-ba-5018","9.25991","10.09127"
"1840","1901","1432","3222","1810","920","920","263","263","526","0","Nigeria","Bauchi","Toro","Tulai","Balarabe Primary Health Clinic","683","1064","1237","997","379","45.82","1901","0","0","1901","0","0","26","Primary Health Clinic","public","org-26e0aa0d-0d35-4aef-9d0d-1ec9b084a57f","5","Local Government","26","primary","active","Nigeria","Bauchi","58575794","Toro","nga-ba-5018","9.29345385","10.10288396"
"131","196","124","186","213","66","66","19","19","37","0","Nigeria","Bauchi","Toro","Tulai","Bukka Health Post","54","60","56","48","24","25.98","196","0","0","179","17","0","Invalid Number","Health Post","public","org-cd0b0e1e-44bf-4a1a-abe2-943183ada4ef","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.1728","10.04413"
"4353","3578","3494","6845","4715","2176","2176","622","622","1244","0","Nigeria","Bauchi","Toro","Tulai","Bukka Tulai Primary Health Care Center","1859","2499","2508","2031","699","41.73","3578","0","0","3551","27","0","3","Primary Health Center","public","org-3ec0d119-fc79-4f3c-aebf-29e917b27af7","5","Local Government","3","primary","active","Nigeria","Bauchi","71350481","Toro","nga-ba-5018","9.288060246","10.07350512"
"290","1143","792","816","582","145","145","41","41","83","0","Nigeria","Bauchi","Toro","Tulai","Galda Health Post","273","376","302","219","62","41.59","1143","0","0","1143","0","0","7","Health Post","public","org-7dc50bf0-450e-4cd8-bf34-39bd9185da6d","Invalid Number","Unknown","7","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.32535","10.14753"
"1123","1463","1286","1024","1175","562","562","160","160","321","0","Nigeria","Bauchi","Toro","Tulai","Gasuwo Maternity Clinic","396","495","416","291","112","43.07","1463","0","0","1463","0","0","Infinity","Primary Health Clinic","public","org-568e979b-2b3e-4dc9-bd73-9d86f0a7e7da","Invalid Number","Unknown","Infinity","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.3739","10.14553"
"720","1027","721","1175","1403","360","360","103","103","206","0","Nigeria","Bauchi","Toro","Tulai","Jambr Health Post","306","412","413","320","117","42.08","1027","0","0","1027","0","0","97","Health Post","unknown","org-97b6eb14-194f-46f7-8a0b-5ac64b8ed341","Invalid Number","Unknown","97","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.28505","10.13284"
"1043","979","858","1564","1171","522","522","149","149","298","0","Nigeria","Bauchi","Toro","Tulai","Kocchiyel Health Post","363","524","626","520","198","44.67","979","0","0","979","0","0","Invalid Number","Health Post","public","org-d73045cd-ae86-4784-a9ad-2a4f908e93db","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.30914","10.1009"
"1357","951","794","2196","1410","679","679","194","194","388","0","Nigeria","Bauchi","Toro","Tulai","Kwacciyel Health Post","354","685","887","719","326","44.85","951","0","0","951","0","0","Invalid Number","Health Post","public","org-b36ba4f5-6b50-4690-99c8-18c63b6ccb92","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","13453766","Toro","nga-ba-5018","9.31319","10.10997"
"1498","1873","1616","2423","1483","749","749","214","214","428","0","Nigeria","Bauchi","Toro","Tulai","Magama Gari Health Post","629","843","827","696","322","38.74","1873","0","0","1873","0","0","Invalid Number","Health Post","public","org-b791e589-aa51-4d71-9786-daf96b8da2e5","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","81170916","Toro","nga-ba-5018","9.164204","10.082232"
"847","3473","1861","4128","997","423","423","121","121","242","0","Nigeria","Bauchi","Toro","Tulai","Mai Allo Health Post","797","1265","1250","980","298","28.30","3473","0","0","3400","73","0","Invalid Number","Health Post","public","org-e25eff86-d423-43c7-9ebe-3b0cd1032528","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.223617","10.10229"
"923","1253","941","2055","882","462","462","132","132","264","0","Nigeria","Bauchi","Toro","Tulai","Polchi Health Post","507","713","768","598","248","41.98","1253","0","0","1253","0","0","1","Health Post","public","org-1dda576c-0dc1-465a-aeab-f6fc95b6de7c","Invalid Number","Unknown","1","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.299059","10.124553"
"382","299","289","469","458","191","191","55","55","109","0","Nigeria","Bauchi","Toro","Tulai","Polchi Primary Health Clinic","133","171","199","168","69","48.16","299","0","0","299","0","0","Invalid Number","Primary Health Clinic","public","org-a15efb54-319b-4cae-9585-6f125ca23321","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","76990641","Toro","nga-ba-5018","9.301233","10.122455"
"711","882","618","1258","647","355","355","102","102","203","0","Nigeria","Bauchi","Toro","Tulai","Rinjin Mukur Health Post","272","392","421","323","124","38.39","882","0","0","882","0","0","3.957e+136","Health Post","public","org-3957e133-ac57-41e8-98dc-2e67311d44e4","5","Local Government","3.957e+136","primary","active","Nigeria","Bauchi","29991759","Toro","nga-ba-5018","9.27375468","10.13105006"
"56","128","45","102","240","28","28","8","8","16","0","Nigeria","Bauchi","Toro","Tulai","Takandan Giwa Health Post","17","37","34","30","13","65.64","128","0","0","128","0","0","Invalid Number","Health Post","public","org-e66b99dc-ec0b-4410-b0ad-af521736efc6","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.27815","10.13356"
"994","1138","1085","816","826","497","497","142","142","284","0","Nigeria","Bauchi","Toro","Tulai","Tashan Durumi Maternity","287","348","330","252","89","43.60","1138","0","0","1138","0","0","63","Primary Health Clinic","public","org-63c71d7d-a09d-44ce-92f4-038f4e56fa46","Invalid Number","Unknown","63","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.35177","10.13445"
"893","2079","1489","2449","931","446","446","128","128","255","0","Nigeria","Bauchi","Toro","Tulai","Tashan Maiturare Health Post","754","921","866","641","176","34.50","2079","0","0","2079","0","0","Invalid Number","Health Post","public","org-de8cc28d-e887-4210-b74c-2706bddabfd6","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","55919541","Toro","nga-ba-5018","9.331481934","10.18811035"
"670","563","480","851","525","335","335","96","96","191","0","Nigeria","Bauchi","Toro","Tulai","Wom Health Post","221","311","347","261","95","40.31","563","0","0","563","0","0","3","Health Post","public","org-3df8818c-a4e2-44e6-89a1-982fbb2cc1b9","5","Local Government","3","primary","active","Nigeria","Bauchi","82315206","Toro","nga-ba-5018","9.32691","10.13192"
"1744","2534","1963","2147","1971","872","872","249","249","498","0","Nigeria","Bauchi","Toro","Tulai","Yakanaji Health Post","938","1081","888","633","196","31.59","2534","0","0","2529","5","0","Invalid Number","Health Post","public","org-e81f4fba-ad8f-459c-a800-c2b9b4dec120","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","47606375","Toro","nga-ba-5018","9.348585","10.10546"
"1439","1526","1657","2447","2055","720","720","206","206","411","0","Nigeria","Bauchi","Toro","Wonu North","Al Huda Health Clinic","639","699","792","670","369","70.85","1526","0","0","1526","0","0","4","Primary Health Clinic","private","org-4b03143d-132a-44fd-8737-e3c7f91f44a5","5","For Profit","4","primary","active","Nigeria","Bauchi","19485210","Toro","nga-ba-5018","9.01695","10.25083"
"5345","4641","4440","7675","5300","2673","2673","764","764","1527","0","Nigeria","Bauchi","Toro","Wonu North","Didim Health Post","1952","2945","2682","2160","905","22.90","4641","0","0","3418","1223","0","309935","Health Post","public","org-309935a1-2ccb-4b8c-a073-4df9da85f414","5","Local Government","309935","primary","active","Nigeria","Bauchi","27505163","Toro","nga-ba-5018","9.08292","10.26948"
"2010","1761","1533","2521","1194","1005","1005","287","287","574","0","Nigeria","Bauchi","Toro","Wonu North","Guman Health Post","725","788","801","681","396","81.91","1761","0","0","1761","0","0","Invalid Number","Health Post","unknown","org-f92ace6a-00d8-4369-8a1b-a92f7a153a4d","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.01499","10.25688"
