"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","Parent Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","state","lga_location_id","country","grid3_settlement_id","location_id","status","lga","grid3_globalid","Site Longitude","Site Latitude","Name","site","ownership_code","grid3_globalid","facility_level_code","location_id","state","nhfr_code","lga","lga_location_id","ownership_text","facility_level_text","country","organization_id","status","nhfr_uid"
"182","345","278","226","135","91","91","26","26","52","0","Nigeria","Bauchi","Toro","Jama'a #1","Billeji","113","119","61","52","20","34.42","345","0","0","345","0","0","Bauchi","nga-ba-5018","Nigeria","12247121","Infinity","active","Toro","Infinity","9.37872118983108","10.0890805501273","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"385","439","278","294","354","192","192","55","55","110","0","Nigeria","Bauchi","Toro","Jama'a #1","Bimiya","119","139","117","102","61","33.65","439","0","0","439","0","0","Bauchi","nga-ba-5018","Nigeria","12036470","Invalid Number","active","Toro","Invalid Number","9.56070925003189","10.2227630302897","Wow Health Post","9.544858,10.21996","public","5","primary","5","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-5eca11a0-ceb7-4935-97e7-17248fbc9861","active","Invalid Number"
"178","394","397","211","202","89","89","25","25","51","0","Nigeria","Bauchi","Toro","Jama'a #1","Buktum","90","112","87","64","34","47.05","394","0","0","394","0","0","Bauchi","nga-ba-5018","Nigeria","12113517","Invalid Number","active","Toro","Invalid Number","9.39694974983115","10.1522783096963","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"56","65","93","94","70","28","28","8","8","16","0","Nigeria","Bauchi","Toro","Jama'a #1","Bum","22","27","29","21","6","29.74","65","0","0","65","0","0","Bauchi","nga-ba-5018","Nigeria","12111945","48554400000000","active","Toro","48554400000000","9.58196342257395","10.2537972914119","Tashan Durumi Primary Health Clinic","9.586253,10.224161","public","136","primary","136","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-136b12cc-7aac-4a22-8b6b-26852fb60d50","active","50108275"
"27","8","7","0","29","13","13","4","4","8","0","Nigeria","Bauchi","Toro","Jama'a #1","Bumyel","0","0","0","0","0","0.00","8","0","0","8","0","0","Bauchi","nga-ba-5018","Nigeria","12224123","Invalid Number","active","Toro","Invalid Number","9.54875771959314","10.2076127003659","Wow Health Post","9.544858,10.21996","public","5","primary","5","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-5eca11a0-ceb7-4935-97e7-17248fbc9861","active","Invalid Number"
"313","325","212","169","992","157","157","78","78","78","0","Nigeria","Bauchi","Toro","Jama'a #1","Dafasu","78","84","71","61","18","44.03","325","0","0","325","0","0","Bauchi","nga-ba-5018","Nigeria","12079978","9","active","Toro","9","9.5970212203531","10.1999638503515","Tashan Durumi","9.584336,10.222777","public","df871169-9e9a-4720-9477-a83cbc732681","primary","df871169-9e9a-4720-9477-a83cbc732681","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Primary Health Center","Nigeria","org-df871169-9e9a-4720-9477-a83cbc732681","active","Invalid Number"
"371","302","196","144","291","185","185","93","93","93","0","Nigeria","Bauchi","Toro","Jama'a #1","Dafasu Rugan Beti","83","87","78","63","29","40.61","302","0","0","302","0","0","Bauchi","nga-ba-5018","Nigeria","12177590","Invalid Number","active","Toro","Invalid Number","9.59949162383941","10.1914597936346","Tashan Durumi","9.584336,10.222777","public","df871169-9e9a-4720-9477-a83cbc732681","primary","df871169-9e9a-4720-9477-a83cbc732681","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Primary Health Center","Nigeria","org-df871169-9e9a-4720-9477-a83cbc732681","active","Invalid Number"
"0","108","38","42","0","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Jama'a #1","Daliya Doka","9","22","13","10","1","20.67","108","0","0","108","0","0","Bauchi","nga-ba-5018","Nigeria","12227536","10000000","active","Toro","10000000","9.46811123814319","10.1617215859824","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"0","129","135","122","2","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Jama'a #1","Dalya","39","47","35","31","16","38.37","129","0","0","129","0","0","Bauchi","nga-ba-5018","Nigeria","12090494","50623700000000","active","Toro","50623700000000","9.47480814228197","10.1660442349535","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"63","248","269","237","47","32","32","9","9","18","0","Nigeria","Bauchi","Toro","Jama'a #1","Dan Maigeda","77","129","81","55","0","14.90","248","0","0","248","0","0","Bauchi","nga-ba-5018","Nigeria","12049418","Invalid Number","active","Toro","Invalid Number","9.51896187169308","10.1907808792342","Dori Primary Health Clinic","9.538696289,10.18890381","public","9","primary","9","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-9ab2c2ac-eb89-4ecd-b790-34bd897ffaf2","active","45350274"
"14","167","138","116","105","7","7","2","2","4","0","Nigeria","Bauchi","Toro","Jama'a #1","Dokaji","36","44","37","26","3","16.57","167","0","0","167","0","0","Bauchi","nga-ba-5018","Nigeria","12149883","Invalid Number","active","Toro","Invalid Number","9.48669000044322","10.1296599996093","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"252","126","154","234","135","126","126","36","36","72","0","Nigeria","Bauchi","Toro","Jama'a #1","Dori","85","99","73","66","28","32.92","126","0","0","126","0","0","Bauchi","nga-ba-5018","Nigeria","12234719","Invalid Number","active","Toro","Invalid Number","9.53624302019927","10.1870271800603","Dori Primary Health Clinic","9.538696289,10.18890381","public","9","primary","9","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-9ab2c2ac-eb89-4ecd-b790-34bd897ffaf2","active","45350274"
"233","172","293","248","107","116","116","53","53","60","0","Nigeria","Bauchi","Toro","Jama'a #1","Dori Bakin Kogi","79","97","81","60","8","16.71","172","0","0","172","0","0","Bauchi","nga-ba-5018","Nigeria","12114231","6","active","Toro","6","9.48634150955309","10.1268503295791","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"377","214","203","376","147","188","188","54","54","108","0","Nigeria","Bauchi","Toro","Jama'a #1","Dukan Bakunawa","143","148","148","140","99","39.43","214","0","0","214","0","0","Bauchi","nga-ba-5018","Nigeria","12004357","48","active","Toro","48","9.57070293029602","10.1909490596514","Dori Primary Health Clinic","9.538696289,10.18890381","public","9","primary","9","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-9ab2c2ac-eb89-4ecd-b790-34bd897ffaf2","active","45350274"
"56","184","142","163","121","28","28","8","8","16","0","Nigeria","Bauchi","Toro","Jama'a #1","Dundu","40","68","48","39","3","20.44","184","0","0","184","0","0","Bauchi","nga-ba-5018","Nigeria","12125557","Invalid Number","active","Toro","Invalid Number","9.51484830970179","10.1950627601383","Dori Primary Health Clinic","9.538696289,10.18890381","public","9","primary","9","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-9ab2c2ac-eb89-4ecd-b790-34bd897ffaf2","active","45350274"
"436","557","374","285","513","218","218","102","102","111","0","Nigeria","Bauchi","Toro","Jama'a #1","Fadan Zul","115","127","115","95","31","39.79","557","0","0","557","0","0","Bauchi","nga-ba-5018","Nigeria","12269084","Invalid Number","active","Toro","Invalid Number","9.57785081116606","10.2194870986507","Tashan Durumi","9.584336,10.222777","public","df871169-9e9a-4720-9477-a83cbc732681","primary","df871169-9e9a-4720-9477-a83cbc732681","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Primary Health Center","Nigeria","org-df871169-9e9a-4720-9477-a83cbc732681","active","Invalid Number"
"0","100","85","99","27","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Jama'a #1","Fulani Kaba","32","39","33","26","2","17.26","100","0","0","100","0","0","Bauchi","nga-ba-5018","Nigeria","12126167","Invalid Number","active","Toro","Invalid Number","9.47813624988805","10.1255164299394","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"0","77","47","48","0","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Jama'a #1","Gadama","18","20","21","19","8","30.48","77","0","0","77","0","0","Bauchi","nga-ba-5018","Nigeria","12000985","Invalid Number","active","Toro","Invalid Number","9.40535394043206","10.1678063198059","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"331","406","376","216","258","166","166","47","47","95","0","Nigeria","Bauchi","Toro","Jama'a #1","Gadan Doka","110","116","90","81","50","47.29","406","0","0","406","0","0","Bauchi","nga-ba-5018","Nigeria","12050996","515304","active","Toro","515304","9.42155501035552","10.1737793002745","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"112","223","194","231","120","56","56","16","16","32","0","Nigeria","Bauchi","Toro","Jama'a #1","Galagam","74","87","85","67","24","46.57","223","0","0","223","0","0","Bauchi","nga-ba-5018","Nigeria","12209140","11","active","Toro","11","9.37878248042716","10.1088775403662","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"574","401","470","472","457","287","287","82","82","164","0","Nigeria","Bauchi","Toro","Jama'a #1","Garin Jamaa","192","214","186","157","77","43.19","401","0","0","401","0","0","Bauchi","nga-ba-5018","Nigeria","12101779","Invalid Number","active","Toro","Invalid Number","9.43348851118589","10.1515734768345","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"110","210","154","187","65","55","55","16","16","31","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Alhaji Fulani","83","92","63","50","17","30.87","210","0","0","210","0","0","Bauchi","nga-ba-5018","Nigeria","12248971","Invalid Number","active","Toro","Invalid Number","9.57375584985266","10.2525072103396","Tashan Durumi Primary Health Clinic","9.586253,10.224161","public","136","primary","136","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-136b12cc-7aac-4a22-8b6b-26852fb60d50","active","50108275"
"63","91","40","89","133","32","32","9","9","18","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Amana","10","23","26","18","6","20.90","91","0","0","91","0","0","Bauchi","nga-ba-5018","Nigeria","12238781","Invalid Number","active","Toro","Invalid Number","9.54104223611034","10.2062666023219","Wow Health Post","9.544858,10.21996","public","5","primary","5","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-5eca11a0-ceb7-4935-97e7-17248fbc9861","active","Invalid Number"
"79","100","99","169","212","40","40","11","11","23","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Baraya","62","87","58","51","8","23.61","100","0","0","100","0","0","Bauchi","nga-ba-5018","Nigeria","12047957","93","active","Toro","93","9.54074377810292","10.1878128053168","Dori Primary Health Clinic","9.538696289,10.18890381","public","9","primary","9","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-9ab2c2ac-eb89-4ecd-b790-34bd897ffaf2","active","45350274"
"0","30","41","5","1","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Bunu","1","2","2","2","1","62.43","30","0","0","30","0","0","Bauchi","nga-ba-5018","Nigeria","12163454","5","active","Toro","5","9.40210819273898","10.176320181831","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"49","174","99","71","77","25","25","7","7","14","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Emmanuel","34","35","25","23","14","43.34","174","0","0","174","0","0","Bauchi","nga-ba-5018","Nigeria","12123804","Infinity","active","Toro","Infinity","9.41485085768096","10.1872836748018","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"93","141","108","149","98","46","46","13","13","26","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Hassan Kan Waya","53","55","50","38","11","23.67","141","0","0","141","0","0","Bauchi","nga-ba-5018","Nigeria","12152249","Invalid Number","active","Toro","Invalid Number","9.40818023712831","10.2102086042437","Sabon Garin Nabardo Health Post","9.36678,10.20572","public","6879709","primary","6879709","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-6879709c-8fa1-4040-9ff9-e1c366d8e2ad","active","61760400"
"32","25","37","15","87","16","16","5","5","9","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Inuwa","3","4","4","3","1","38.96","25","0","0","25","0","0","Bauchi","nga-ba-5018","Nigeria","12263277","562769","active","Toro","562769","9.55400657584283","10.2300090793556","Wow Health Post","9.544858,10.21996","public","5","primary","5","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-5eca11a0-ceb7-4935-97e7-17248fbc9861","active","Invalid Number"
"56","106","40","37","183","28","28","14","14","14","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Jede","23","25","14","12","4","37.17","106","0","0","106","0","0","Bauchi","nga-ba-5018","Nigeria","12014558","Invalid Number","active","Toro","Invalid Number","9.58563026612393","10.1971716946181","Tashan Durumi","9.584336,10.222777","public","df871169-9e9a-4720-9477-a83cbc732681","primary","df871169-9e9a-4720-9477-a83cbc732681","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Primary Health Center","Nigeria","org-df871169-9e9a-4720-9477-a83cbc732681","active","Invalid Number"
"53","95","94","43","114","27","27","12","12","14","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Liri","28","28","16","11","5","21.25","95","0","0","95","0","0","Bauchi","nga-ba-5018","Nigeria","12084536","5","active","Toro","5","9.57419192841479","10.2096917090052","Tashan Durumi","9.584336,10.222777","public","df871169-9e9a-4720-9477-a83cbc732681","primary","df871169-9e9a-4720-9477-a83cbc732681","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Primary Health Center","Nigeria","org-df871169-9e9a-4720-9477-a83cbc732681","active","Invalid Number"
"35","98","74","76","49","18","18","5","5","10","0","Nigeria","Bauchi","Toro","Jama'a #1","Gidan Mallan Dahe","24","31","24","16","1","16.10","98","0","0","98","0","0","Bauchi","nga-ba-5018","Nigeria","12140346","8","active","Toro","8","9.60835352799296","10.2529842943897","Tashan Durumi Primary Health Clinic","9.586253,10.224161","public","136","primary","136","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-136b12cc-7aac-4a22-8b6b-26852fb60d50","active","50108275"
