"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","Parent Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","state","lga_location_id","country","grid3_settlement_id","location_id","status","lga","grid3_globalid","Site Longitude","Site Latitude","Name","site","ownership_code","grid3_globalid","facility_level_code","location_id","state","nhfr_code","lga","lga_location_id","ownership_text","facility_level_text","country","organization_id","status","nhfr_uid"
"48","130","150","272","107","24","24","7","7","14","0","Nigeria","Bauchi","Toro","Lame","Unguwar Mai Ido","0","54","69","58","22","29.96","130","0","0","130","0","0","Bauchi","nga-ba-5018","Nigeria","12136566","13108","active","Toro","13108","9.14796015034074","10.5112764199708","Fatara Health Post","9.13221527,10.54341276","public","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","primary","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-f20bf2c3-5bfe-40f7-a5ec-3981c968a728","active","Invalid Number"
"126","756","571","888","147","63","63","18","18","36","0","Nigeria","Bauchi","Toro","Lame","Unguwar Malam Sale","0","331","342","210","42","20.14","718","38","0","650","106","0","Bauchi","nga-ba-5018","Nigeria","12224948","4982","active","Toro","4982","9.17070838998023","10.646339960221","Ruhu Primary Health Clinic","9.09935322161,10.5988303137","public","8.145948e-49","primary","8.145948e-49","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-8145948e-55c9-43e3-946b-fbb2665cdc59","active","19672300"
"273","258","263","515","290","137","137","39","39","78","0","Nigeria","Bauchi","Toro","Lame","Unguwar Shago","0","136","154","111","37","22.75","258","0","0","258","0","0","Bauchi","nga-ba-5018","Nigeria","12106921","506","active","Toro","506","9.11337857995755","10.5185995301442","Fatara Health Post","9.13221527,10.54341276","public","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","primary","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-f20bf2c3-5bfe-40f7-a5ec-3981c968a728","active","Invalid Number"
"63","522","405","1008","49","32","32","9","9","18","0","Nigeria","Bauchi","Toro","Lame","Yabaje A","0","291","343","227","27","16.26","452","70","0","431","28","63","Bauchi","nga-ba-5018","Nigeria","12157717","9","active","Toro","9","9.16350003959519","10.5814412472158","Fatara Health Post","9.13221527,10.54341276","public","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","primary","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-f20bf2c3-5bfe-40f7-a5ec-3981c968a728","active","Invalid Number"
"0","197","176","414","0","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Lame","Yabaje B","0","106","136","95","17","15.65","197","0","0","197","0","0","Bauchi","nga-ba-5018","Nigeria","12089179","Infinity","active","Toro","Infinity","9.14842347656224","10.5808404686128","Fatara Health Post","9.13221527,10.54341276","public","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","primary","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-f20bf2c3-5bfe-40f7-a5ec-3981c968a728","active","Invalid Number"
"28","200","277","337","14","14","14","4","4","8","0","Nigeria","Bauchi","Toro","Lame","Yabaje C","0","86","100","85","21","16.29","200","0","0","200","0","0","Bauchi","nga-ba-5018","Nigeria","12240106","177715","active","Toro","177715","9.12203901978501","10.5899369897004","Ruhu Primary Health Clinic","9.09935322161,10.5988303137","public","8.145948e-49","primary","8.145948e-49","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-8145948e-55c9-43e3-946b-fbb2665cdc59","active","19672300"
"175","170","177","313","198","87","87","25","25","50","0","Nigeria","Bauchi","Toro","Lame","Yataji","0","122","141","106","56","38.91","170","0","0","144","26","0","Bauchi","nga-ba-5018","Nigeria","12221680","9","active","Toro","9","9.16517738762639","10.5281390392853","Fatara Health Post","9.13221527,10.54341276","public","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","primary","f20bf2c3-5bfe-40f7-a5ec-3981c968a728","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-f20bf2c3-5bfe-40f7-a5ec-3981c968a728","active","Invalid Number"
"84","665","568","1284","98","42","42","12","12","24","0","Nigeria","Bauchi","Toro","Lame","Zabiya","0","364","405","296","48","17.37","665","0","0","665","0","0","Bauchi","nga-ba-5018","Nigeria","12106947","9","active","Toro","9","9.14907385997071","10.5925222303167","Ruhu Primary Health Clinic","9.09935322161,10.5988303137","public","8.145948e-49","primary","8.145948e-49","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-8145948e-55c9-43e3-946b-fbb2665cdc59","active","19672300"
"301","216","223","446","249","150","150","43","43","86","0","Nigeria","Bauchi","Toro","Lame","Zan Gafura","118","156","160","133","66","37.50","216","0","0","216","0","0","Bauchi","nga-ba-5018","Nigeria","12009779","917","active","Toro","917","9.22876616342774","10.3603325952731","Gukka Health Post","9.222403,10.383969","public","fe37c141-a033-434f-b74a-4d32d9f99c7d","primary","fe37c141-a033-434f-b74a-4d32d9f99c7d","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-fe37c141-a033-434f-b74a-4d32d9f99c7d","active","Invalid Number"
"35","218","215","114","52","17","17","5","5","10","0","Nigeria","Bauchi","Toro","Mara","Alhaji Adamu Ikko","53","54","38","30","10","24.31","218","0","0","218","0","0","Bauchi","nga-ba-5018","Nigeria","12109230","8","active","Toro","8","9.33761261792802","10.209430813881","Taka Bundu Primary Health Clinic","9.31096421028,10.2113063007","public","1000000000","primary","1000000000","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-1e9d50a0-3528-4e07-9e68-a340224ab695","active","54298984"
"42","29","55","57","31","21","21","6","6","12","0","Nigeria","Bauchi","Toro","Mara","Anguwan Mallam Abbakar","18","26","16","15","5","18.05","29","0","0","29","0","0","Bauchi","nga-ba-5018","Nigeria","12285662","Invalid Number","active","Toro","Invalid Number","9.25407836122741","10.2154086929569","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"0","209","29","181","4","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Audu","37","68","74","44","8","15.71","209","0","0","209","0","0","Bauchi","nga-ba-5018","Nigeria","12239128","5","active","Toro","5","9.34226555820896","10.3013758190389","Mara Health Post","9.28379561,10.30413988","public","24","primary","24","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-24cca78f-8f13-4c98-b693-cd2ba86dc3f0","active","72185797"
"112","196","203","393","94","56","56","16","16","32","0","Nigeria","Bauchi","Toro","Mara","Barnawa","115","160","109","79","23","15.43","196","0","0","196","0","0","Bauchi","nga-ba-5018","Nigeria","12154015","7433615","active","Toro","7433615","9.27404142027535","10.2599111803567","Kafin Durumi Health Post","9.27999,10.25178","public","0","primary","0","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-0fa69ea6-43e1-4eb3-91f9-f87286085e38","active","65631702"
"0","281","176","368","104","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Berger","70","106","110","81","20","22.01","281","0","0","281","0","0","Bauchi","nga-ba-5018","Nigeria","12288337","91","active","Toro","91","9.25287499998132","10.1191566699444","Rimin Zayam Health Post","9.283124,10.13867","public","d88ca81d-0c28-4e0c-b102-2e10cddb4c10","primary","d88ca81d-0c28-4e0c-b102-2e10cddb4c10","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-d88ca81d-0c28-4e0c-b102-2e10cddb4c10","active","Invalid Number"
"49","65","41","79","20","25","25","7","7","14","0","Nigeria","Bauchi","Toro","Mara","Dam","14","21","23","19","8","28.65","65","0","0","65","0","0","Bauchi","nga-ba-5018","Nigeria","12281929","20","active","Toro","20","9.25949219990514","10.1984715998845","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"0","168","97","398","50","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Dogon Jeji","29","133","134","106","20","18.73","168","0","0","168","0","0","Bauchi","nga-ba-5018","Nigeria","12207266","Invalid Number","active","Toro","Invalid Number","9.31058668013122","10.3400706402479","Yuga Primary Health Clinic","9.27691,10.31104","public","226","primary","226","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-226d52ae-fed8-4be4-ac91-031c5fbeadcc","active","39428725"
"0","48","12","58","0","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Dogon Jeji Gidan Buba Sukael","0","18","21","15","1","13.35","48","0","0","48","0","0","Bauchi","nga-ba-5018","Nigeria","12262479","Invalid Number","active","Toro","Invalid Number","9.32728481344344","10.3087911609833","Mara Health Post","9.28379561,10.30413988","public","24","primary","24","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-24cca78f-8f13-4c98-b693-cd2ba86dc3f0","active","72185797"
"196","257","271","225","198","98","98","28","28","56","0","Nigeria","Bauchi","Toro","Mara","Dolen Gyem","92","116","65","53","26","38.61","248","9","0","248","9","0","Bauchi","nga-ba-5018","Nigeria","12288615","6000","active","Toro","6000","9.26044609011501","10.2895809397086","Mara Health Post","9.28379561,10.30413988","public","24","primary","24","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-24cca78f-8f13-4c98-b693-cd2ba86dc3f0","active","72185797"
"0","67","29","35","224","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Fikaji","3","11","13","9","5","33.53","67","0","0","67","0","0","Bauchi","nga-ba-5018","Nigeria","12094527","8127","active","Toro","8127","9.29258823415972","10.1487808228767","Rimin Zayam Primary Health Care Center","9.29086132,10.14049381","public","c502189c-5060-49b3-aa9c-41a98102d491","primary","c502189c-5060-49b3-aa9c-41a98102d491","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-c502189c-5060-49b3-aa9c-41a98102d491","active","58496757"
"0","210","190","254","4","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Fulanin Madaki","46","94","80","51","4","14.01","210","0","0","210","0","0","Bauchi","nga-ba-5018","Nigeria","12222843","Invalid Number","active","Toro","Invalid Number","9.27431468017841","10.2046855096286","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"0","73","55","112","0","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Fulanin Madaki B","23","39","38","18","0","11.08","73","0","0","73","0","0","Bauchi","nga-ba-5018","Nigeria","12193786","1","active","Toro","1","9.26881313421882","10.1955594898786","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"0","91","70","187","47","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Fulanin Madaki Sabon Bariki","24","58","58","35","3","14.73","91","0","0","91","0","0","Bauchi","nga-ba-5018","Nigeria","12272959","Invalid Number","active","Toro","Invalid Number","9.2652211160617","10.1970217929215","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"56","152","78","127","49","28","28","8","8","16","0","Nigeria","Bauchi","Toro","Mara","Gada Biyu Doka","40","48","34","29","10","45.12","152","0","0","152","0","0","Bauchi","nga-ba-5018","Nigeria","12269277","88","active","Toro","88","9.31820591996728","10.1720049702532","Sutumi Health Post","9.292642,10.164591","public","aa906164-7e90-47c3-aa75-6572eba1ba79","primary","aa906164-7e90-47c3-aa75-6572eba1ba79","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-aa906164-7e90-47c3-aa75-6572eba1ba79","active","13636184"
"183","302","196","331","109","91","91","26","26","52","0","Nigeria","Bauchi","Toro","Mara","Gada Biyu Zir","87","127","128","101","34","52.37","302","0","0","302","0","0","Bauchi","nga-ba-5018","Nigeria","12262400","2","active","Toro","2","9.31371986957635","10.1681666997334","Sutumi Health Post","9.292642,10.164591","public","aa906164-7e90-47c3-aa75-6572eba1ba79","primary","aa906164-7e90-47c3-aa75-6572eba1ba79","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-aa906164-7e90-47c3-aa75-6572eba1ba79","active","13636184"
"0","4","26","8","10","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Gangul","9","11","11","10","3","55.29","4","0","0","4","0","0","Bauchi","nga-ba-5018","Nigeria","12042345","98","active","Toro","98","9.27934587980855","10.145889419761","Sauki Health Clinic","9.28588166186,10.1404275296","private","1","primary","1","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Center","Nigeria","org-1b4947cb-d79d-4828-ba48-fb3fbb57dd1c","active","58938220"
"56","76","62","125","32","28","28","8","8","16","0","Nigeria","Bauchi","Toro","Mara","Gayawa","19","37","50","33","6","21.34","76","0","0","76","0","0","Bauchi","nga-ba-5018","Nigeria","12212187","828","active","Toro","828","9.26709651908914","10.2271986008348","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"0","73","51","68","15","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Gidan Mallam Ilu","0","26","27","24","0","15.36","73","0","0","73","0","0","Bauchi","nga-ba-5018","Nigeria","12004281","0","active","Toro","0","9.29457926841854","10.3144513383587","Yuga Primary Health Clinic","9.27691,10.31104","public","226","primary","226","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-226d52ae-fed8-4be4-ac91-031c5fbeadcc","active","39428725"
"224","381","350","690","213","112","112","32","32","64","0","Nigeria","Bauchi","Toro","Mara","Gingin","168","274","241","165","36","23.55","381","0","0","379","2","0","Bauchi","nga-ba-5018","Nigeria","12191984","Invalid Number","active","Toro","Invalid Number","9.2642070297307","10.1855972795908","Sutumi Health Post","9.292642,10.164591","public","aa906164-7e90-47c3-aa75-6572eba1ba79","primary","aa906164-7e90-47c3-aa75-6572eba1ba79","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-aa906164-7e90-47c3-aa75-6572eba1ba79","active","13636184"
"209","196","203","463","184","105","105","30","30","60","0","Nigeria","Bauchi","Toro","Mara","Gorgella","119","176","166","129","48","33.89","196","0","0","196","0","0","Bauchi","nga-ba-5018","Nigeria","12016732","93","active","Toro","93","9.26013668016373","10.2192111902443","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"49","205","196","302","44","25","25","7","7","14","0","Nigeria","Bauchi","Toro","Mara","Gwallafa","74","139","102","49","3","12.47","205","0","0","205","0","0","Bauchi","nga-ba-5018","Nigeria","12263147","1","active","Toro","1","9.286158502413","10.2163399778078","Taka Bundu Primary Health Clinic","9.31096421028,10.2113063007","public","1000000000","primary","1000000000","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-1e9d50a0-3528-4e07-9e68-a340224ab695","active","54298984"
"84","126","121","171","48","42","42","12","12","24","0","Nigeria","Bauchi","Toro","Mara","Gwargyalla","45","69","73","57","10","27.66","126","0","0","126","0","0","Bauchi","nga-ba-5018","Nigeria","12266582","63493190","active","Toro","63493190","9.26211063989416","10.2118761397721","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"57","202","165","515","113","29","29","8","8","16","0","Nigeria","Bauchi","Toro","Mara","Gyem","21","140","159","123","18","18.35","202","0","0","202","0","0","Bauchi","nga-ba-5018","Nigeria","12081358","0","active","Toro","0","9.29723616971353","10.3609284401954","Yuga Primary Health Clinic","9.27691,10.31104","public","226","primary","226","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-226d52ae-fed8-4be4-ac91-031c5fbeadcc","active","39428725"
"0","102","84","225","2","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Hardo Dawai","21","63","70","52","6","16.10","102","0","0","102","0","0","Bauchi","nga-ba-5018","Nigeria","12204418","Infinity","active","Toro","Infinity","9.29785085992927","10.3223187020465","Yuga Primary Health Clinic","9.27691,10.31104","public","226","primary","226","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-226d52ae-fed8-4be4-ac91-031c5fbeadcc","active","39428725"
"63","95","117","124","40","32","32","9","9","18","0","Nigeria","Bauchi","Toro","Mara","Hardo Ilu","40","61","39","25","3","24.38","95","0","0","95","0","0","Bauchi","nga-ba-5018","Nigeria","12037467","Invalid Number","active","Toro","Invalid Number","9.28422705993091","10.2228061204062","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"0","142","65","197","0","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Hardo Kudaru","20","80","78","54","4","14.11","142","0","0","142","0","0","Bauchi","nga-ba-5018","Nigeria","12051855","Invalid Number","active","Toro","Invalid Number","9.33232388483947","10.3525410246486","Yuga Primary Health Clinic","9.27691,10.31104","public","226","primary","226","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-226d52ae-fed8-4be4-ac91-031c5fbeadcc","active","39428725"
"279","191","193","413","314","140","140","40","40","80","0","Nigeria","Bauchi","Toro","Mara","Hayin Sumba","142","175","153","114","32","31.93","191","0","0","191","0","0","Bauchi","nga-ba-5018","Nigeria","12078981","69670","active","Toro","69670","9.28686301961272","10.2384124299897","Kafin Durumi Health Post","9.27999,10.25178","public","0","primary","0","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-0fa69ea6-43e1-4eb3-91f9-f87286085e38","active","65631702"
"111","92","93","151","51","55","55","16","16","32","0","Nigeria","Bauchi","Toro","Mara","Jajal","45","74","75","56","21","31.48","92","0","0","92","0","0","Bauchi","nga-ba-5018","Nigeria","12183076","66","active","Toro","66","9.29924489003969","10.2305882598404","Taka Bundu Primary Health Clinic","9.31096421028,10.2113063007","public","1000000000","primary","1000000000","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-1e9d50a0-3528-4e07-9e68-a340224ab695","active","54298984"
"63","219","321","204","47","32","32","9","9","18","0","Nigeria","Bauchi","Toro","Mara","Jira","41","72","59","47","19","32.53","202","17","0","202","17","0","Bauchi","nga-ba-5018","Nigeria","12220807","660","active","Toro","660","9.25723916975193","10.2099599398994","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"27","148","137","60","41","14","14","4","4","8","0","Nigeria","Bauchi","Toro","Mara","Kahawa Madaki Beti","33","47","19","19","4","30.66","148","0","0","148","0","0","Bauchi","nga-ba-5018","Nigeria","12273295","60512","active","Toro","60512","9.26926326828527","10.2905731203533","Mara Health Post","9.28379561,10.30413988","public","24","primary","24","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-24cca78f-8f13-4c98-b693-cd2ba86dc3f0","active","72185797"
"176","196","263","202","244","88","88","25","25","50","0","Nigeria","Bauchi","Toro","Mara","Kanda","109","127","69","58","20","31.17","196","0","0","196","0","0","Bauchi","nga-ba-5018","Nigeria","12194888","17","active","Toro","17","9.27840423566698","10.2742547986201","Kafin Durumi Health Post","9.27999,10.25178","public","0","primary","0","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-0fa69ea6-43e1-4eb3-91f9-f87286085e38","active","65631702"
"91","384","297","305","176","45","45","13","13","26","0","Nigeria","Bauchi","Toro","Mara","Kanoki","40","106","111","64","7","24.96","384","0","0","384","0","0","Bauchi","nga-ba-5018","Nigeria","12274082","Invalid Number","active","Toro","Invalid Number","9.29484641023367","10.2430855600506","Kafin Durumi Health Post","9.27999,10.25178","public","0","primary","0","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-0fa69ea6-43e1-4eb3-91f9-f87286085e38","active","65631702"
"0","53","0","92","0","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Kanoki Rugar Baffaji","47","52","39","22","3","14.84","53","0","0","53","0","0","Bauchi","nga-ba-5018","Nigeria","12106440","Invalid Number","active","Toro","Invalid Number","9.32669204510182","10.267540473714","Taka Bundu Primary Health Clinic","9.31096421028,10.2113063007","public","1000000000","primary","1000000000","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-1e9d50a0-3528-4e07-9e68-a340224ab695","active","54298984"
"455","416","432","928","330","228","228","65","65","130","0","Nigeria","Bauchi","Toro","Mara","Kolawa","233","356","309","235","77","27.75","416","0","0","416","0","0","Bauchi","nga-ba-5018","Nigeria","12029396","4.05e+47","active","Toro","4.05e+47","9.25236894966736","10.2348708098401","Rinjin Gingin Health Post","9.25935628879,10.2246092992","public","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","primary","e615a4d2-eefb-4515-a9e9-c3a17b62eaea","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-e615a4d2-eefb-4515-a9e9-c3a17b62eaea","active","53746030"
"77","141","136","133","59","39","39","11","11","22","0","Nigeria","Bauchi","Toro","Mara","Kwafa","29","51","40","28","4","15.63","141","0","0","141","0","0","Bauchi","nga-ba-5018","Nigeria","12097302","8","active","Toro","8","9.28520534964724","10.2829618602017","Mara Health Post","9.28379561,10.30413988","public","24","primary","24","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-24cca78f-8f13-4c98-b693-cd2ba86dc3f0","active","72185797"
"252","385","335","712","179","126","126","36","36","72","0","Nigeria","Bauchi","Toro","Mara","Kwagga B","149","204","221","191","70","26.49","376","9","0","376","9","0","Bauchi","nga-ba-5018","Nigeria","12234495","3","active","Toro","3","9.24274268023055","10.1129823699405","Rimin Zayam Health Post","9.283124,10.13867","public","d88ca81d-0c28-4e0c-b102-2e10cddb4c10","primary","d88ca81d-0c28-4e0c-b102-2e10cddb4c10","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-d88ca81d-0c28-4e0c-b102-2e10cddb4c10","active","Invalid Number"
"337","379","275","605","321","169","169","48","48","96","0","Nigeria","Bauchi","Toro","Mara","Labazu","118","206","216","158","27","31.08","379","0","0","379","0","0","Bauchi","nga-ba-5018","Nigeria","12120160","Invalid Number","active","Toro","Invalid Number","9.30660743008889","10.2226192197013","Taka Bundu Primary Health Clinic","9.31096421028,10.2113063007","public","1000000000","primary","1000000000","Bauchi","5","Toro","nga-ba-5018","Local Government","Health Post","Nigeria","org-1e9d50a0-3528-4e07-9e68-a340224ab695","active","54298984"
"78","514","410","851","181","39","39","11","11","22","0","Nigeria","Bauchi","Toro","Mara","Ladda Bale","199","278","274","194","51","26.33","490","24","0","487","27","0","Bauchi","nga-ba-5018","Nigeria","12247684","98","active","Toro","98","9.26930470005192","10.1326227603322","Rimin Zayam Health Post","9.283124,10.13867","public","d88ca81d-0c28-4e0c-b102-2e10cddb4c10","primary","d88ca81d-0c28-4e0c-b102-2e10cddb4c10","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-d88ca81d-0c28-4e0c-b102-2e10cddb4c10","active","Invalid Number"
"91","69","90","243","80","46","46","13","13","26","0","Nigeria","Bauchi","Toro","Mara","Lara","45","92","91","72","20","35.78","69","0","0","69","0","0","Bauchi","nga-ba-5018","Nigeria","12026982","Invalid Number","active","Toro","Invalid Number","9.31008866975634","10.3464797496408","Yuga Primary Health Clinic","9.27691,10.31104","public","226","primary","226","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-226d52ae-fed8-4be4-ac91-031c5fbeadcc","active","39428725"
"0","148","10","205","6","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Mara","Layawa","11","57","70","52","5","14.13","148","0","0","148","0","0","Bauchi","nga-ba-5018","Nigeria","12272931","68","active","Toro","68","9.33077812021412","10.3381656801021","Yuga Primary Health Clinic","9.27691,10.31104","public","226","primary","226","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-226d52ae-fed8-4be4-ac91-031c5fbeadcc","active","39428725"
